iter	RMSE
0	1181.608667
1	1135.372017
2	1090.403801
3	1048.565515
4	1008.292214
5	969.9573464
6	930.9888579
7	896.1869391
8	861.7350961
9	829.0803988
10	797.1940307
11	767.7135938
12	738.3373602
13	711.2153444
14	685.9221743
15	660.207366
16	636.8020431
17	614.5129867
18	594.2006968
19	574.5138024
20	555.391191
21	536.6504795
22	519.2880202
23	503.6052049
24	487.4374836
25	472.8628897
26	458.6528585
27	445.2851299
28	430.3676555
29	417.8318723
30	404.6602117
31	392.3250014
32	381.2746133
33	370.0643633
34	360.5188724
35	349.6828629
36	341.8508318
37	331.9316858
38	322.6333358
39	314.3205202
40	306.2896407
41	298.6667463
42	291.0078828
43	283.5385189
44	276.6182524
45	271.2560264
46	265.4297809
47	259.8540058
48	254.2507918
49	249.7483868
50	244.9646865
51	241.0452614
52	236.9456437
53	232.2176656
54	228.5873233
55	223.6584824
56	219.7937509
57	216.5442997
58	213.7431513
59	210.9201861
60	207.6938533
61	204.6796739
62	202.9342817
63	200.9068457
64	198.7596642
65	195.099491
66	193.3009707
67	190.636857
68	189.3894109
69	187.1440662
70	185.4724953
71	183.5072292
72	181.250317
73	180.0846623
74	177.3596003
75	175.7405494
76	174.5238183
77	172.3745594
78	171.2105516
79	170.117385
80	169.3724041
81	167.4813509
82	166.0368236
83	165.3248017
84	163.7953865
85	162.53072
86	161.2416198
87	160.3376039
88	159.6495631
89	158.8243128
90	157.2453796
91	156.0008545
92	155.3897255
93	154.8106206
94	154.299135
95	153.3907695
96	152.3779182
97	151.8556454
98	150.7006342
99	149.8125721
100	148.9573573
101	148.5449216
102	147.7163818
103	146.9470016
104	146.6766732
105	145.6360364
106	144.841124
107	144.556635
108	143.5656238
109	143.025144
110	141.8029771
111	141.4628892
112	141.0897596
113	140.7402934
114	140.3744792
115	140.032923
116	139.8161907
117	139.3511673
118	137.9731686
119	137.3922331
120	137.2696348
121	136.3962207
122	135.907513
123	134.9248763
124	134.4243103
125	133.7116995
126	133.1716693
127	132.1885066
128	132.0726068
129	131.3550559
130	131.1337703
131	130.7207651
132	130.3070832
133	129.3929259
134	128.8357178
135	128.387242
136	128.1466827
137	127.3761175
138	126.4378642
139	125.9388919
140	125.4732751
141	125.118881
142	124.6697264
143	124.2471139
144	123.7493332
145	123.6011003
146	123.4664316
147	122.9946623
