iter	Passed	Remaining
0	129	128808
1	130	64863
2	130	43487
3	132	32854
4	133	26504
5	134	22261
6	136	19374
7	137	17064
8	138	15261
9	139	13819
10	140	12645
11	141	11662
12	142	10828
13	143	10115
14	144	9489
15	146	8978
16	146	8489
17	148	8069
18	148	7684
19	149	7333
20	150	7013
21	151	6724
22	152	6459
23	153	6218
24	154	6002
25	155	5808
26	156	5623
27	157	5450
28	158	5287
29	159	5150
30	160	5006
31	161	4869
32	161	4739
33	162	4626
34	163	4513
35	165	4414
36	165	4315
37	166	4220
38	167	4129
39	168	4044
40	169	3962
41	170	3892
42	172	3825
43	173	3759
44	174	3703
45	175	3639
46	176	3577
47	178	3530
48	179	3481
49	180	3424
50	181	3375
51	182	3323
52	183	3273
53	184	3224
54	185	3177
55	186	3142
56	187	3105
57	188	3065
58	189	3025
59	191	2993
60	192	2957
61	193	2921
62	194	2885
63	195	2859
64	196	2826
65	197	2798
66	198	2766
67	199	2737
68	201	2709
69	202	2683
70	203	2655
71	204	2630
72	205	2604
73	206	2579
74	207	2556
75	208	2533
76	209	2509
77	211	2494
78	212	2473
79	213	2452
80	214	2430
81	215	2409
82	216	2388
83	217	2369
84	218	2351
85	219	2332
86	220	2313
87	221	2295
88	222	2276
89	224	2266
90	225	2248
91	226	2230
92	227	2213
93	228	2195
94	228	2178
95	229	2162
96	230	2146
97	231	2131
98	232	2116
99	233	2101
100	234	2086
101	235	2073
102	236	2059
103	237	2045
104	238	2031
105	239	2017
106	240	2004
107	241	1990
108	242	1977
109	243	1964
110	244	1952
111	245	1941
112	246	1930
113	247	1918
114	248	1907
115	249	1897
116	250	1888
117	251	1878
118	252	1868
119	254	1861
120	254	1848
121	255	1837
122	256	1827
123	257	1816
124	258	1806
125	259	1796
126	260	1786
127	261	1776
128	262	1769
129	263	1760
130	264	1750
131	265	1744
132	266	1735
133	267	1726
134	268	1719
135	269	1711
136	270	1704
137	271	1696
138	272	1688
139	273	1680
140	274	1672
141	275	1664
142	276	1656
143	277	1648
144	278	1641
145	279	1633
146	280	1626
147	281	1620
148	282	1613
149	283	1605
150	284	1599
151	285	1592
152	286	1586
153	287	1579
154	289	1573
155	290	1567
156	291	1561
157	292	1554
158	293	1548
159	294	1543
160	295	1536
161	296	1530
162	297	1525
163	298	1519
164	299	1513
165	300	1507
166	301	1501
167	302	1495
168	303	1490
169	304	1484
170	305	1478
171	306	1473
172	307	1467
173	308	1462
174	309	1456
175	310	1450
176	311	1445
177	312	1439
178	312	1433
179	313	1428
180	315	1424
181	316	1419
182	317	1413
183	317	1408
184	318	1402
185	319	1397
186	320	1392
187	321	1387
188	322	1382
189	323	1377
190	324	1372
191	325	1367
192	326	1362
193	327	1358
194	328	1353
195	329	1348
196	330	1345
197	331	1340
198	332	1336
199	333	1332
200	334	1328
201	335	1324
202	336	1320
203	337	1315
204	338	1311
205	339	1307
206	340	1304
207	341	1300
208	342	1296
209	343	1292
210	345	1288
211	346	1285
212	347	1282
213	348	1279
214	349	1275
215	350	1271
216	351	1267
217	352	1263
218	353	1260
219	354	1256
220	355	1252
221	357	1252
222	358	1248
223	359	1244
224	360	1240
225	361	1236
226	362	1232
227	363	1229
228	364	1225
229	365	1222
230	366	1218
231	367	1214
232	368	1211
233	369	1207
234	370	1203
235	371	1200
236	372	1196
237	373	1193
238	374	1189
239	375	1187
240	376	1184
241	377	1181
242	378	1178
243	379	1174
244	380	1172
245	382	1169
246	383	1166
247	384	1163
248	385	1161
249	386	1158
250	387	1155
251	388	1152
252	389	1149
253	390	1146
254	391	1143
255	392	1140
256	393	1137
257	394	1134
258	395	1131
259	396	1128
260	397	1125
261	398	1122
262	399	1118
263	400	1115
264	401	1112
265	402	1109
266	403	1106
267	404	1103
268	405	1100
269	406	1097
270	407	1094
271	408	1091
272	409	1089
273	411	1088
274	412	1085
275	413	1082
276	414	1079
277	415	1076
278	416	1073
279	416	1070
280	417	1067
281	419	1065
282	419	1062
283	421	1060
284	422	1059
285	424	1057
286	425	1054
287	426	1052
288	427	1049
289	428	1047
290	429	1044
291	430	1041
292	431	1038
293	432	1036
294	433	1033
295	434	1030
296	435	1028
297	436	1025
298	437	1024
299	438	1021
300	439	1019
301	440	1017
302	442	1015
303	443	1013
304	444	1011
305	445	1009
306	447	1007
307	448	1005
308	449	1003
309	450	1000
310	451	999
311	452	997
312	453	994
313	454	992
314	455	989
315	456	987
316	457	984
317	458	982
318	459	980
319	460	978
320	461	975
321	463	973
322	464	971
323	464	968
324	466	966
325	466	964
326	467	961
327	468	959
328	470	957
329	471	954
330	472	952
331	473	950
332	474	948
333	475	946
334	476	944
335	477	942
336	479	942
337	481	940
338	482	938
339	483	936
340	484	934
341	485	932
342	486	930
343	487	928
344	488	926
345	489	924
346	490	922
347	491	920
348	493	918
349	494	916
350	495	914
351	496	912
352	497	911
353	499	909
354	500	908
355	501	906
356	502	904
357	503	902
358	505	900
359	506	898
360	507	896
361	508	894
362	509	892
363	510	890
364	511	888
365	512	886
366	513	884
367	514	882
368	515	880
369	516	878
370	517	876
371	518	874
372	520	872
373	521	870
374	522	868
375	523	866
376	524	864
377	525	862
378	526	860
379	527	858
380	528	857
381	529	855
382	530	853
383	531	851
384	532	849
385	533	847
386	534	845
387	535	843
388	536	841
389	538	840
390	539	838
391	540	836
392	541	834
393	542	832
394	543	830
395	544	829
396	545	827
397	546	825
398	547	823
399	548	821
400	549	819
401	550	817
402	551	816
403	552	814
404	553	812
405	554	810
406	556	808
407	557	807
408	558	805
409	559	803
410	560	802
411	561	800
412	562	798
413	563	796
414	564	794
415	565	792
416	566	790
417	567	789
418	568	787
419	569	785
420	570	783
421	571	781
422	572	780
423	574	778
424	575	776
425	576	775
426	577	773
427	578	771
428	579	769
429	580	768
430	581	766
431	582	764
432	583	763
433	584	761
434	585	759
435	586	757
436	588	756
437	589	754
438	590	752
439	591	751
440	592	749
441	593	747
442	594	745
443	595	744
444	596	742
445	597	741
446	598	739
447	599	737
448	600	736
449	601	734
450	602	732
451	603	730
452	605	729
453	606	727
454	607	726
455	608	724
456	609	722
457	610	721
458	611	719
459	612	717
460	613	716
461	614	714
462	616	713
463	617	711
464	618	710
465	619	708
466	620	706
467	621	704
468	622	703
469	623	701
470	624	700
471	625	698
472	626	696
473	627	695
474	628	693
475	629	691
476	630	690
477	631	688
478	633	687
479	634	686
480	635	684
481	636	682
482	637	680
483	638	679
484	639	677
485	640	675
486	641	674
487	642	672
488	643	671
489	644	669
490	645	667
491	646	666
492	647	664
493	648	663
494	649	661
495	651	660
496	652	658
497	653	657
498	654	655
499	655	654
500	657	653
501	658	651
502	659	649
503	660	648
504	661	646
505	661	644
506	662	643
507	663	641
508	664	639
509	665	638
510	666	636
511	667	634
512	668	633
513	669	631
514	670	630
515	671	628
516	673	627
517	674	626
518	675	624
519	676	623
520	677	621
521	678	620
522	679	618
523	680	617
524	682	615
525	683	614
526	684	612
527	685	611
528	686	609
529	687	608
530	690	608
531	692	607
532	694	607
533	696	606
534	697	605
535	699	604
536	701	603
537	702	601
538	703	600
539	704	599
540	705	597
541	707	596
542	709	595
543	710	594
544	711	592
545	714	592
546	716	591
547	719	592
548	721	591
549	723	590
550	725	589
551	728	589
552	729	588
553	730	587
554	732	585
555	733	584
556	735	583
557	736	582
558	737	580
559	740	580
560	742	579
561	746	580
562	747	579
563	749	577
564	750	576
565	751	575
566	752	573
567	754	572
568	755	570
569	756	569
570	757	567
571	758	566
572	760	565
573	761	563
574	762	562
575	764	561
576	765	559
577	766	558
578	768	557
579	769	555
580	770	554
581	771	553
582	773	551
583	774	550
584	775	548
585	776	547
586	778	546
587	779	544
588	780	543
589	781	542
590	783	540
591	784	539
592	785	537
593	787	536
594	788	535
595	789	533
596	790	532
597	791	530
598	792	529
599	793	527
600	795	526
601	796	525
602	797	523
603	798	522
604	799	520
605	800	519
606	803	518
607	804	517
608	805	515
609	806	514
610	807	512
611	808	511
612	809	509
613	810	508
614	811	506
615	812	505
616	813	503
617	814	502
618	815	500
619	816	499
620	817	497
621	818	496
622	819	494
623	821	493
624	822	492
625	823	490
626	824	489
627	825	487
628	826	486
629	827	484
630	828	483
631	829	481
632	831	480
633	832	479
634	833	477
635	834	476
636	835	474
637	836	473
638	837	471
639	839	470
640	840	469
641	842	468
642	843	467
643	845	465
644	846	464
645	847	463
646	848	461
647	849	460
648	850	458
649	851	457
650	852	455
651	853	454
652	854	452
653	855	451
654	856	449
655	857	448
656	858	446
657	859	445
658	860	444
659	862	442
660	863	441
661	864	440
662	865	438
663	866	437
664	867	435
665	868	434
666	869	432
667	870	431
668	871	429
669	872	428
670	873	427
671	874	425
672	876	424
673	877	423
674	878	421
675	879	420
676	880	418
677	881	417
678	883	416
679	884	414
680	885	413
681	886	412
682	887	410
683	888	409
684	889	407
685	890	406
686	891	405
687	892	403
688	893	402
689	894	400
690	895	399
691	897	397
692	898	396
693	899	395
694	900	393
695	901	392
696	902	391
697	903	389
698	904	388
699	905	386
700	906	385
701	907	384
702	908	382
703	909	381
704	910	379
705	911	378
706	912	377
707	914	375
708	915	374
709	916	372
710	917	371
711	918	370
712	919	368
713	921	367
714	922	366
715	923	364
716	924	363
717	925	362
718	926	360
719	927	359
720	928	357
721	928	356
722	929	354
723	930	353
724	931	352
725	932	350
726	933	349
727	934	347
728	935	346
729	936	345
730	937	343
731	938	342
732	939	341
733	941	339
734	942	338
735	943	337
736	944	335
737	945	334
738	946	332
739	947	331
740	948	330
741	949	328
742	950	327
743	951	326
744	952	324
745	953	323
746	954	322
747	955	320
748	956	319
749	957	317
750	958	316
751	959	315
752	960	313
753	961	312
754	962	311
755	963	309
756	965	308
757	966	307
758	967	305
759	968	304
760	969	303
761	970	301
762	971	300
763	972	299
764	974	297
765	975	296
766	976	295
767	977	293
768	978	292
769	979	291
770	980	289
771	981	288
772	982	287
773	983	285
774	984	284
775	985	283
776	986	281
777	988	280
778	989	279
779	990	278
780	991	276
781	992	275
782	993	274
783	994	272
784	995	271
785	996	270
786	997	268
787	998	267
788	999	266
789	1000	264
790	1001	263
791	1003	262
792	1004	260
793	1005	259
794	1006	258
795	1007	256
796	1008	255
797	1009	254
798	1010	252
799	1011	251
800	1012	250
801	1014	249
802	1015	247
803	1016	246
804	1017	245
805	1018	243
806	1019	242
807	1020	241
808	1021	239
809	1022	238
810	1023	237
811	1024	236
812	1025	234
813	1027	233
814	1028	232
815	1029	230
816	1030	229
817	1031	228
818	1032	226
819	1033	225
820	1034	224
821	1035	223
822	1036	221
823	1037	220
824	1038	219
825	1040	217
826	1041	216
827	1042	215
828	1043	213
829	1044	212
830	1045	211
831	1046	209
832	1047	208
833	1048	207
834	1049	206
835	1050	204
836	1051	203
837	1052	202
838	1053	200
839	1055	199
840	1056	198
841	1056	197
842	1057	195
843	1058	194
844	1059	193
845	1060	191
846	1061	190
847	1062	189
848	1063	187
849	1064	186
850	1065	185
851	1066	184
852	1067	182
853	1068	181
854	1069	180
855	1070	178
856	1071	177
857	1072	176
858	1073	175
859	1074	173
860	1075	172
861	1076	171
862	1077	169
863	1078	168
864	1079	167
865	1080	165
866	1081	164
867	1082	163
868	1083	162
